City_ID,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
69,IT,1584214784,46.62,10.7,90,50,42.01,6.93
70,US,1584214758,34.64,-120.46,90,76,60.01,9.17
71,GL,1584214127,77.48,-69.36,0,60,-19.14,4.81
72,SO,1584214411,2.04,45.34,92,83,82.67,20.4
73,BW,1584214785,-19.67,22.27,82,74,72.99,3.42
74,ES,1584214690,42.78,-9.06,7,81,55.99,4.7
75,CN,1584214785,50.57,123.72,0,90,-8.19,4.38
76,RU,1584214785,51.38,58.98,100,75,42.8,17.9
77,ID,1584214786,-9.86,124.28,29,78,73.67,4.34
78,RU,1584214460,71.92,114.08,98,95,1.49,10.6
79,MG,1584214786,-20.28,44.28,54,82,74.07,4.61
80,RU,1584214786,62.67,131.17,96,99,-16.29,3.11
81,RU,1584214756,63.9,122.76,100,98,-3.15,6.44
82,CA,1584214741,47.67,-52.73,75,80,39.99,21.92
83,PH,1584214760,11.0,122.67,14,89,71.19,6.15
84,NZ,1584214787,-35.1,173.78,1,94,57.99,11.48
85,RU,1584214663,69.38,178.42,29,72,-6.21,6.96
86,CL,1584214787,-36.62,-71.83,25,21,78.8,11.41
87,ZA,1584214672,-34.53,20.04,67,72,68.0,8.05
88,MX,1584214787,15.74,-96.47,20,58,91.0,17.22
89,RU,1584214745,63.28,118.33,100,95,12.33,5.79
90,AU,1584214787,-42.78,147.06,75,81,52.0,5.82
91,MR,1584214759,20.93,-17.03,0,73,69.8,19.46
92,BR,1584214193,-22.97,-42.03,40,78,82.4,12.75
93,PG,1584214788,-6.32,155.48,98,88,74.97,2.51
94,US,1584214502,42.6,-73.97,40,48,46.99,20.8
95,JP,1584214755,43.2,140.77,0,43,25.0,0.92
96,IR,1584214788,26.96,56.27,75,72,69.8,4.7
97,AU,1584214548,-38.27,141.97,0,70,58.55,14.94
98,SE,1584214762,55.61,13.0,20,55,37.99,18.34
99,AU,1584214757,-23.7,133.88,75,43,73.4,9.17
100,NC,1584214739,-20.23,164.02,90,80,84.15,40.96
101,SJ,1584214454,78.22,15.64,40,49,-0.4,17.22
102,RU,1584214789,63.6,53.88,60,89,17.73,9.6
103,RU,1584214789,50.68,156.12,0,81,12.87,4.76
104,US,1584214789,41.7,-71.42,75,34,55.0,19.46
105,BW,1584214790,-19.98,23.42,62,69,78.8,2.13
106,MX,1584214790,30.48,-115.95,43,67,62.91,12.06
107,GL,1584214417,65.61,-37.64,20,60,8.6,6.33
108,SE,1584214790,59.66,12.59,66,74,34.0,11.41
109,NO,1584214727,70.37,31.11,40,67,18.63,21.18
110,YT,1584214791,-12.91,45.19,20,83,84.2,9.17
111,AU,1584214191,-31.95,141.43,0,54,53.6,13.87
112,DE,1584214791,51.97,12.08,0,68,39.0,11.41
113,US,1584214650,20.89,-156.47,40,74,78.8,9.17
114,GD,1584214791,12.06,-61.75,75,70,84.2,9.89
115,CN,1584214791,27.31,105.29,100,82,48.47,2.33
116,ID,1584214547,-3.8,102.27,95,91,74.61,3.27
117,BJ,1584214548,6.5,2.6,20,83,84.2,6.93
118,PE,1584214792,-13.7,-76.22,100,30,77.0,12.75
119,BR,1584214792,-0.41,-65.02,92,56,89.55,1.7
120,GL,1584214792,64.18,-51.72,28,60,10.0,11.99
121,RU,1584214792,69.7,170.31,54,76,-10.89,9.19
122,RU,1584214729,60.47,166.1,100,96,27.45,16.08
123,CA,1584214793,46.43,-81.15,75,34,35.01,14.99
124,IN,1584214793,12.9,76.39,1,51,71.37,2.44
125,IN,1584214793,18.67,78.12,31,46,76.77,3.62
126,MY,1584214793,5.41,100.34,20,88,82.4,3.62
127,JP,1584214793,38.23,139.48,100,87,30.87,2.42
128,AU,1584214760,-34.68,150.87,98,62,59.0,11.41
129,CN,1584214793,37.65,120.33,0,71,36.05,4.27
130,GL,1584214601,72.79,-56.15,100,97,-10.35,3.56
131,UG,1584214794,2.98,34.13,100,51,77.85,6.44
132,GL,1584214794,65.42,-52.9,99,83,3.83,11.99
133,US,1584214794,64.86,-147.8,90,78,18.0,3.27
134,GL,1584214615,60.92,-46.05,75,67,23.0,3.36
135,AR,1584214794,-29.15,-59.65,20,29,104.0,11.41
136,US,1584214795,33.19,-82.53,75,54,80.6,3.36
137,AU,1584214463,-25.24,130.99,0,31,77.0,12.75
138,ZA,1584214795,-34.05,23.37,18,86,64.89,6.91
139,BR,1584214795,-16.96,-51.81,50,87,77.13,3.27
140,IS,1584214795,64.25,-15.21,100,66,31.77,22.03
141,CN,1584214795,36.62,101.77,100,38,29.61,3.18
142,RU,1584214796,64.38,-173.3,100,73,18.77,5.12
143,ZA,1584214796,-34.42,19.23,53,87,64.99,13.4
144,US,1584214481,21.35,-158.09,1,78,78.8,6.93
145,NZ,1584214445,-46.13,167.68,100,86,51.01,1.01
146,RU,1584214796,54.39,53.26,100,99,32.09,4.81
147,AU,1584214796,-34.73,135.87,99,76,60.21,15.39
148,PK,1584214797,28.89,64.41,100,21,63.77,3.98
149,PH,1584214797,17.08,122.42,48,88,74.79,10.31
150,RU,1584214797,61.95,159.23,100,95,14.49,9.35
151,RU,1584214604,71.97,102.5,100,89,26.51,12.21
152,BR,1584214797,-21.9,-47.62,32,40,89.6,4.7
153,BR,1584214797,-9.88,-56.09,20,66,89.6,3.36
154,RU,1584214797,59.7,30.79,20,39,28.4,24.61
155,US,1584214492,71.29,-156.79,90,85,19.4,27.51
156,SB,1584214557,-9.43,159.95,40,94,77.0,2.24
157,AO,1584214742,-15.2,12.15,100,75,76.23,4.09
158,US,1584214798,64.5,-165.41,90,100,30.2,1.41
159,MX,1584214750,17.96,-102.2,35,58,85.19,9.57
160,CA,1584214678,54.52,-128.6,5,27,24.8,14.99
161,PH,1584214509,14.05,124.17,28,73,78.17,7.0
